--- asteroids vs asteroids ---
8 61 0.00497746 0.531906
8 62 0.00285971 -0.456018
8 63 0.00163877 0.483382
8 64 0.00929044 -0.062682
8 65 0.00454512 0.397236
8 66 0.0177231 0.552368
8 67 0.00197533 -0.497666
8 68 0.00168542 0.321469
8 69 0.0029713 0.774813
8 70 0.00234208 0.780883
8 71 0.00203564 0.671101
8 72 0.0105479 0.0697995
8 73 0.165652 -0.174128
8 74 0.00510131 0.772018
8 75 0.00198899 0.710693
8 76 0.00781275 -0.0921173
8 77 0.0247836 -0.637718
8 78 0.00204253 -0.727624
8 79 0.00703485 0.311263
8 80 0.0333674 0.754348
8 81 0.00357573 -0.330393
8 82 0.00321025 0.640416
8 83 0.00332387 -0.234454
8 84 0.0021887 -0.112169
8 85 0.0107704 0.434309
8 86 0.00208444 0.541638
8 87 0.00367432 0.77028
8 88 0.00190532 0.411088
8 89 0.00400839 -0.627495
8 90 0.00190834 0.488171
8 91 0.00226634 -0.501551
8 92 0.00366656 -0.430811
8 93 0.0307372 -0.30149
8 94 0.0152809 0.146303
8 95 0.00221052 0.435726
8 96 0.00885661 0.731613
8 97 0.00421443 0.451919
8 98 0.00314462 0.662223
8 99 0.00909705 0.535131
9 10 0.0058184 0.231091
9 11 0.00405799 -0.754125
9 12 0.00497509 -0.41941
9 13 0.0139236 -0.0890147
9 14 0.00230949 -0.255613
9 15 0.33767 0.204158
9 16 0.870418 0.163301
9 17 0.00607613 -0.112376
9 18 0.00797635 0.0482843
9 19 0.00675125 -0.0916602
9 20 0.013849 0.33287
9 21 0.00480824 -0.214066
9 22 0.00420004 0.294193
9 23 0.00672628 -0.733512
9 24 0.0404281 0.528894
9 25 0.00440174 -0.0372572
9 26 0.00555384 0.166316
9 27 0.00248555 -0.735866
9 28 0.00438014 0.551038
9 29 0.00486869 -0.32402
9 30 0.00641794 -0.0108867
9 31 0.00686943 -0.228343
9 32 0.00433137 0.538198
9 33 0.0417234 0.0386545
9 34 0.0277596 0.239662
9 35 0.00831555 0.231272
9 36 0.00521865 -0.28445
9 37 0.00300398 -0.231353
9 38 0.00499789 -0.118731
9 39 0.0139777 0.22795
9 40 0.0272048 -0.464508
9 41 0.00269308 -0.734999
9 42 0.00974898 0.136048
9 43 0.0191127 0.735995
9 44 0.0190269 -0.629222
9 45 0.0220608 -0.543306
9 46 0.0241795 0.745584
9 47 0.0128939 0.67979
9 48 0.00742588 -0.469446
9 49 0.0541389 -0.396504
9 50 0.00324408 -0.646381
9 51 0.00324132 -0.571971
